basket,period,start_date,end_date,total_return,spy_return,spy_excess_return,expected_members,included_members,included_tickers,excluded_tickers,weight_convention
ai_platforms,common_window,2026-07-08,2026-09-04,0.10786207136176862,0.03325728094365221,0.0746047904181164,4,4,MSFT|AMZN|GOOGL|NVDA,,equal initial weights; buy and hold; members complete throughout each stated period
ai_platforms,5_sessions,2026-08-28,2026-09-04,-0.005151011327869548,0.0010918657075786875,-0.0062428770354482355,4,4,MSFT|AMZN|GOOGL|NVDA,,equal initial weights; buy and hold; members complete throughout each stated period
ai_platforms,20_sessions,2026-08-07,2026-09-04,-0.018099639811918394,-0.003970213492805907,-0.014129426319112487,4,4,MSFT|AMZN|GOOGL|NVDA,,equal initial weights; buy and hold; members complete throughout each stated period
energy_producers,common_window,2026-07-08,2026-09-04,0.16652123287047416,0.03325728094365221,0.13326395192682194,2,2,XOM|CVX,,equal initial weights; buy and hold; members complete throughout each stated period
energy_producers,5_sessions,2026-08-28,2026-09-04,0.02550080949550937,0.0010918657075786875,0.02440894378793068,2,2,XOM|CVX,,equal initial weights; buy and hold; members complete throughout each stated period
energy_producers,20_sessions,2026-08-07,2026-09-04,0.08832978153414506,-0.003970213492805907,0.09229999502695097,2,2,XOM|CVX,,equal initial weights; buy and hold; members complete throughout each stated period
healthcare,common_window,2026-07-08,2026-09-04,-0.04026642203757347,0.03325728094365221,-0.07352370298122568,2,2,UNH|HCA,,equal initial weights; buy and hold; members complete throughout each stated period
healthcare,5_sessions,2026-08-28,2026-09-04,-0.010010073079346649,0.0010918657075786875,-0.011101938786925336,2,2,UNH|HCA,,equal initial weights; buy and hold; members complete throughout each stated period
healthcare,20_sessions,2026-08-07,2026-09-04,-0.02232110180706237,-0.003970213492805907,-0.018350888314256464,2,2,UNH|HCA,,equal initial weights; buy and hold; members complete throughout each stated period
household_and_credit,common_window,2026-07-08,2026-09-04,0.011963847212970743,0.03325728094365221,-0.021293433730681467,6,6,DHI|LEN|JPM|WMT|HD|CMG,,equal initial weights; buy and hold; members complete throughout each stated period
household_and_credit,5_sessions,2026-08-28,2026-09-04,-0.01164145418500547,0.0010918657075786875,-0.012733319892584158,6,6,DHI|LEN|JPM|WMT|HD|CMG,,equal initial weights; buy and hold; members complete throughout each stated period
household_and_credit,20_sessions,2026-08-07,2026-09-04,-0.017895200830681506,-0.003970213492805907,-0.013924987337875599,6,6,DHI|LEN|JPM|WMT|HD|CMG,,equal initial weights; buy and hold; members complete throughout each stated period
industrial_trade_labor,common_window,2026-07-08,2026-09-04,0.03153139262933302,0.03325728094365221,-0.0017258883143191905,3,3,CAT|DE|FAST,,equal initial weights; buy and hold; members complete throughout each stated period
industrial_trade_labor,5_sessions,2026-08-28,2026-09-04,0.03791873269211125,0.0010918657075786875,0.03682686698453256,3,3,CAT|DE|FAST,,equal initial weights; buy and hold; members complete throughout each stated period
industrial_trade_labor,20_sessions,2026-08-07,2026-09-04,0.013449302643243658,-0.003970213492805907,0.017419516136049563,3,3,CAT|DE|FAST,,equal initial weights; buy and hold; members complete throughout each stated period
power_and_capacity,common_window,2026-07-08,2026-09-04,0.00938758775857905,0.03325728094365221,-0.023869693185073163,8,8,ETN|VRT|AEP|DUK|CEG|VST|DLR|EQIX,,equal initial weights; buy and hold; members complete throughout each stated period
power_and_capacity,5_sessions,2026-08-28,2026-09-04,0.03823739406026866,0.0010918657075786875,0.03714552835268997,8,8,ETN|VRT|AEP|DUK|CEG|VST|DLR|EQIX,,equal initial weights; buy and hold; members complete throughout each stated period
power_and_capacity,20_sessions,2026-08-07,2026-09-04,0.0070624725703900965,-0.003970213492805907,0.011032686063196004,8,8,ETN|VRT|AEP|DUK|CEG|VST|DLR|EQIX,,equal initial weights; buy and hold; members complete throughout each stated period
