ticker,name,kind,basket,peer_group,topics,period,start_date,end_date,sessions,total_return,sector_benchmark,sector_return,sector_excess_return,spy_return,spy_excess_return,peer_ex_self_return,peer_ex_self_excess_return,peer_count,coverage_status,note
MSFT,Microsoft,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,common_window,2026-07-08,2026-09-04,42,0.30599649073915813,XLK,0.03241458148101106,0.27358190925814707,0.03325728094365221,0.2727392097955059,-0.0015500337670948383,0.30754652450625297,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
MSFT,Microsoft,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,5_sessions,2026-08-28,2026-09-04,5,-0.02693127237131543,XLK,0.008562638359554953,-0.03549391073087038,0.0010918657075786875,-0.028023138078894116,-0.02627788814532178,-0.0006533842259936473,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
MSFT,Microsoft,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,20_sessions,2026-08-07,2026-09-04,20,0.0013014827290129816,XLK,-0.0036708114961179206,0.004972294225130902,-0.003970213492805907,0.005271696221818889,-0.051138272695401554,0.052439755424414536,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
AMZN,Amazon,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters|affordability_inflation,common_window,2026-07-08,2026-09-04,42,0.0611198380546516,XLY,-0.003382475102566729,0.06450231315721833,0.03325728094365221,0.027862557110999386,0.12088829257515843,-0.05976845452050683,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
AMZN,Amazon,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters|affordability_inflation,5_sessions,2026-08-28,2026-09-04,5,-0.029726318837511978,XLY,-0.019622860168317935,-0.010103458669194043,0.0010918657075786875,-0.030818184545090666,-0.024880364912223507,-0.004845953925288471,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
AMZN,Amazon,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters|affordability_inflation,20_sessions,2026-08-07,2026-09-04,20,-0.058182747673740765,XLY,-0.04129815554009508,-0.01688459213364568,-0.003970213492805907,-0.05421253418093486,-0.02139615749402468,-0.03678659017971608,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
GOOGL,Alphabet,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,common_window,2026-07-08,2026-09-04,42,-0.06421990558884128,XLC,0.02347889380887791,-0.08769879939771918,0.03325728094365221,-0.09747718653249349,0.18355816439690487,-0.24777806998574614,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
GOOGL,Alphabet,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,5_sessions,2026-08-28,2026-09-04,5,-0.022829457453131585,XLC,-0.008496319166499289,-0.014333138286632296,0.0010918657075786875,-0.023921323160710273,-0.028328795604413703,0.005499338151282118,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
GOOGL,Alphabet,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,20_sessions,2026-08-07,2026-09-04,20,-0.044093797717062344,XLC,0.007011224982443887,-0.05110502269950623,-0.003970213492805907,-0.04012358422425644,-0.02844063247236389,-0.015653165244698453,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
NVDA,NVIDIA,stock,ai_platforms,ai_semiconductors,ai_jobs_regulation|trade_tariffs,common_window,2026-07-08,2026-09-04,42,0.12855186224210602,XLK,0.03241458148101106,0.09613728076109496,0.03325728094365221,0.0952945812984538,,,0,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
