ticker,channel,issue_ids,artifact_count,artifact_statuses,artifact_errors,read_errors,hourly_rows,usable_two_sided_hours,first_observed_utc,last_observed_utc,coverage_status,common_window_nominal_hours,common_window_observed_hours,common_window_unobserved_nominal_hours,missing_or_invalid_two_sided_hours
CONTROLH-2026-R,election,,1,complete,0,,1471,1471,2026-07-08T16:00:00Z,2026-09-08T15:00:00Z,observed_partial_or_complete_see_counts,1488,1471,17,0
CONTROLH-2026-D,election,,1,complete,0,,1470,1470,2026-07-08T16:00:00Z,2026-09-08T15:00:00Z,observed_partial_or_complete_see_counts,1488,1470,18,0
CONTROLS-2026-R,election,,1,complete,0,,1450,1450,2026-07-08T16:00:00Z,2026-09-08T15:00:00Z,observed_partial_or_complete_see_counts,1488,1450,38,0
CONTROLS-2026-D,election,,1,complete,0,,1438,1438,2026-07-08T16:00:00Z,2026-09-08T15:00:00Z,observed_partial_or_complete_see_counts,1488,1438,50,0
GOVPARTYAL-26-R,election,,1,complete,0,,596,596,2026-07-08T17:00:00Z,2026-09-08T15:00:00Z,observed_partial_or_complete_see_counts,1488,596,892,0
GOVPARTYAL-26-D,election,,1,complete,0,,896,896,2026-07-09T03:00:00Z,2026-09-08T15:00:00Z,observed_partial_or_complete_see_counts,1488,896,592,0
GOVPARTYAR-26-R,election,,1,complete,0,,238,238,2026-07-09T08:00:00Z,2026-09-08T12:00:00Z,observed_partial_or_complete_see_counts,1488,238,1250,0
GOVPARTYAR-26-D,election,,1,complete,0,,182,182,2026-07-09T08:00:00Z,2026-09-08T13:00:00Z,observed_partial_or_complete_see_counts,1488,182,1306,0
GOVPARTYAZ-26-R,election,,1,complete,0,,1143,1143,2026-07-08T17:00:00Z,2026-09-08T15:00:00Z,observed_partial_or_complete_see_counts,1488,1143,345,0
GOVPARTYAZ-26-D,election,,1,complete,0,,1060,1060,2026-07-08T21:00:00Z,2026-09-08T14:00:00Z,observed_partial_or_complete_see_counts,1488,1060,428,0
GOVPARTYCA-26-R,election,,1,complete,0,,828,828,2026-07-08T16:00:00Z,2026-09-08T14:00:00Z,observed_partial_or_complete_see_counts,1488,828,660,0
GOVPARTYCA-26-D,election,,1,complete,0,,976,976,2026-07-08T16:00:00Z,2026-09-08T13:00:00Z,observed_partial_or_complete_see_counts,1488,976,512,0
GOVPARTYCO-26-R,election,,1,complete,0,,556,556,2026-07-08T23:00:00Z,2026-09-08T14:00:00Z,observed_partial_or_complete_see_counts,1488,556,932,0
GOVPARTYCO-26-D,election,,1,complete,0,,289,289,2026-07-09T18:00:00Z,2026-09-08T14:00:00Z,observed_partial_or_complete_see_counts,1488,289,1199,0
