issue_id,channel,utc_date,observed_markets,observed_events,quoted_events,observed_hourly_rows,usable_quote_hours,event_equal_weight_mid_diagnostic,volume_observed_contracts,oi_sum_latest_observed_per_contract,oi_contracts_observed,partial_boundary_rows,newly_listed_events,interpretation
affordability_inflation,macro,2026-07-08,232,27,22,1066,858,0.45473111871110883,85771.1,1340621.99,232,111,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-09,275,31,28,2634,2126,0.33981627543208426,123057.92,1457575.18,275,0,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-10,366,31,30,2706,2063,0.34844993228019544,172649.6,1585827.23,366,0,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-11,242,25,22,3243,2264,0.34546856124771147,112642.55,1646977.45,242,0,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-12,259,29,27,3237,2210,0.35659933298942964,93759.16,1723104.97,259,0,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-13,356,31,28,3353,2101,0.3244518978045764,295507.83,1895187.23,356,0,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-14,366,31,29,2813,1577,0.31870422824302136,265419.81,2094055.01,366,0,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-15,292,26,22,1766,1122,0.26532503607503605,96317.11,313418.81,292,0,1,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-16,303,27,22,2804,1483,0.2864810606060606,138842.02,414073.06,303,0,1,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-17,288,27,23,2743,1856,0.3138025911286781,87385.83,474352.74,288,0,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-18,191,26,20,1961,1476,0.32627344877344877,32848.31,477410.67,191,0,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-19,162,24,16,1819,1149,0.4227222447691198,14735.58,469842.2,162,0,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
affordability_inflation,macro,2026-07-20,284,26,20,2650,1475,0.2999119505494506,75441.91,544272.8,284,9,0,changing_coverage_not_matched_salience_or_probability_index; OI_not_positions
