ticker,series_ticker,event_ticker,title,yes_sub_title,issue_ids,status,scope,lookback_days,current_status,prior_status,current_mid,prior_mid,change_pp,current_observed_utc,prior_observed_utc,comparison_status
KXAAAGASMAXNY-26DEC31-6.20,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $6.20 by Dec 31, 2026?",Above $6.20,energy_iran,active,US_or_global_US_relevant_proxy,7,usable,usable,0.03,0.02,0.9999999999999999,2026-09-08T14:00:00Z,2026-09-01T07:00:00Z,same_contract_descriptive
KXAAAGASMAXNY-26DEC31-6.20,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $6.20 by Dec 31, 2026?",Above $6.20,energy_iran,active,US_or_global_US_relevant_proxy,14,usable,usable,0.03,0.049999999999999996,-1.9999999999999998,2026-09-08T14:00:00Z,2026-08-25T09:00:00Z,same_contract_descriptive
KXAAAGASMAXNY-26DEC31-6.20,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $6.20 by Dec 31, 2026?",Above $6.20,energy_iran,active,US_or_global_US_relevant_proxy,28,usable,usable,0.03,0.135,-10.500000000000002,2026-09-08T14:00:00Z,2026-08-11T08:00:00Z,same_contract_descriptive
KXAAAGASMAXNY-26DEC31-6.00,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $6.00 by Dec 31, 2026?",Above $6.00,energy_iran,active,US_or_global_US_relevant_proxy,7,usable,usable,0.035,0.04,-0.4999999999999998,2026-09-08T14:00:00Z,2026-09-01T13:00:00Z,same_contract_descriptive
KXAAAGASMAXNY-26DEC31-6.00,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $6.00 by Dec 31, 2026?",Above $6.00,energy_iran,active,US_or_global_US_relevant_proxy,14,usable,stale_observation,0.035,,,2026-09-08T14:00:00Z,2026-08-18T08:00:00Z,not_comparable
KXAAAGASMAXNY-26DEC31-6.00,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $6.00 by Dec 31, 2026?",Above $6.00,energy_iran,active,US_or_global_US_relevant_proxy,28,usable,usable,0.035,0.075,-3.9999999999999996,2026-09-08T14:00:00Z,2026-08-11T15:00:00Z,same_contract_descriptive
KXAAAGASMAXNY-26DEC31-5.80,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $5.80 by Dec 31, 2026?",Above $5.80,energy_iran,active,US_or_global_US_relevant_proxy,7,usable,usable,0.035,0.03,0.5000000000000004,2026-09-08T14:00:00Z,2026-09-01T13:00:00Z,same_contract_descriptive
KXAAAGASMAXNY-26DEC31-5.80,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $5.80 by Dec 31, 2026?",Above $5.80,energy_iran,active,US_or_global_US_relevant_proxy,14,usable,usable,0.035,0.065,-3.0,2026-09-08T14:00:00Z,2026-08-25T14:00:00Z,same_contract_descriptive
KXAAAGASMAXNY-26DEC31-5.80,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $5.80 by Dec 31, 2026?",Above $5.80,energy_iran,active,US_or_global_US_relevant_proxy,28,usable,usable,0.035,0.13,-9.5,2026-09-08T14:00:00Z,2026-08-11T15:00:00Z,same_contract_descriptive
KXAAAGASMAXNY-26DEC31-5.60,KXAAAGASMAXNY,KXAAAGASMAXNY-26DEC31,"Will average **gas prices** be above or below $5.60 by Dec 31, 2026?",Above $5.60,energy_iran,active,US_or_global_US_relevant_proxy,7,stale_observation,usable,,0.025500000000000002,,2026-09-07T09:00:00Z,2026-09-01T09:00:00Z,not_comparable
