issue_id,channel,week_start_utc,observed_days,newly_listed_events,volume_observed_contracts,last_observed_day,oi_at_last_observed_day,interpretation
affordability_inflation,macro,2026-07-06,5,0,587880.3300000001,2026-07-12,1723104.97,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,macro,2026-07-13,7,2,931056.49,2026-07-19,469842.2,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,macro,2026-07-20,7,0,455752.45,2026-07-26,703198.3099999999,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,macro,2026-07-27,7,2,399412.36,2026-08-02,922958.58,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,macro,2026-08-03,7,0,516372.77,2026-08-09,1156444.86,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,macro,2026-08-10,7,1,1162551.66,2026-08-16,124994.62,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,macro,2026-08-17,7,0,244912.31,2026-08-23,251352.15,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,macro,2026-08-24,7,1,311644.51,2026-08-30,325635.01,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,macro,2026-08-31,7,0,465252.55,2026-09-06,686380.75,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,macro,2026-09-07,1,0,85136.61,2026-09-07,741119.82,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,mention,2026-07-06,5,5,22277.45,2026-07-12,6716.8,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,mention,2026-07-13,7,17,155700.21,2026-07-19,10879.09,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,mention,2026-07-20,7,27,346153.8,2026-07-26,11696.41,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,mention,2026-07-27,7,17,348339.05,2026-08-02,14383.19,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
affordability_inflation,mention,2026-08-03,7,18,312935.8,2026-08-09,17393.92,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
