ticker,name,kind,basket,peer_group,topics,period,start_date,end_date,sessions,total_return,sector_benchmark,sector_return,sector_excess_return,spy_return,spy_excess_return,peer_ex_self_return,peer_ex_self_excess_return,peer_count,coverage_status,note
MSFT,Microsoft,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,common_window,2026-07-08,2026-09-04,42,0.3059964907391581,XLK,0.032414581481011,0.273581909258147,0.0332572809436522,0.2727392097955059,-0.0015500337670948,0.3075465245062529,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
MSFT,Microsoft,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,5_sessions,2026-08-28,2026-09-04,5,-0.0269312723713154,XLK,0.0085626383595549,-0.0354939107308703,0.0010918657075786,-0.0280231380788941,-0.0262778881453217,-0.0006533842259936,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
MSFT,Microsoft,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,20_sessions,2026-08-07,2026-09-04,20,0.0013014827290129,XLK,-0.0036708114961179,0.0049722942251309,-0.0039702134928059,0.0052716962218188,-0.0511382726954015,0.0524397554244145,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
AMZN,Amazon,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters|affordability_inflation,common_window,2026-07-08,2026-09-04,42,0.0611198380546516,XLY,-0.0033824751025667,0.0645023131572183,0.0332572809436522,0.0278625571109993,0.1208882925751584,-0.0597684545205068,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
AMZN,Amazon,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters|affordability_inflation,5_sessions,2026-08-28,2026-09-04,5,-0.0297263188375119,XLY,-0.0196228601683179,-0.010103458669194,0.0010918657075786,-0.0308181845450906,-0.0248803649122235,-0.0048459539252884,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
AMZN,Amazon,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters|affordability_inflation,20_sessions,2026-08-07,2026-09-04,20,-0.0581827476737407,XLY,-0.041298155540095,-0.0168845921336456,-0.0039702134928059,-0.0542125341809348,-0.0213961574940246,-0.036786590179716,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
GOOGL,Alphabet,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,common_window,2026-07-08,2026-09-04,42,-0.0642199055888412,XLC,0.0234788938088779,-0.0876987993977191,0.0332572809436522,-0.0974771865324934,0.1835581643969048,-0.2477780699857461,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
GOOGL,Alphabet,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,5_sessions,2026-08-28,2026-09-04,5,-0.0228294574531315,XLC,-0.0084963191664992,-0.0143331382866322,0.0010918657075786,-0.0239213231607102,-0.0283287956044137,0.0054993381512821,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
GOOGL,Alphabet,stock,ai_platforms,cloud_platforms,ai_jobs_regulation|electricity_datacenters,20_sessions,2026-08-07,2026-09-04,20,-0.0440937977170623,XLC,0.0070112249824438,-0.0511050226995062,-0.0039702134928059,-0.0401235842242564,-0.0284406324723638,-0.0156531652446984,2,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
NVDA,NVIDIA,stock,ai_platforms,ai_semiconductors,ai_jobs_regulation|trade_tariffs,common_window,2026-07-08,2026-09-04,42,0.128551862242106,XLK,0.032414581481011,0.0961372807610949,0.0332572809436522,0.0952945812984538,,,0,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
NVDA,NVIDIA,stock,ai_platforms,ai_semiconductors,ai_jobs_regulation|trade_tariffs,5_sessions,2026-08-28,2026-09-04,5,0.0588830033504808,XLK,0.0085626383595549,0.0503203649909258,0.0010918657075786,0.0577911376429021,,,0,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
