ticker,series_ticker,event_ticker,title,yes_sub_title,issue_ids,status,scope,target_utc,quote_status,quote_observed_utc,age_hours,mid_probability,bid_usd,ask_usd,spread_probability,open_interest_contracts,staleness_limit,threshold
KXAAAGASED-26NOV03-2.50,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $2.50?,Above 2.50,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T08:00:00Z,7.116666666666666,0.985,0.98,0.99,0.01,1039.89,bar_age_only_actual_quote_update_time_unavailable,2.5
KXAAAGASED-26NOV03-2.75,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $2.75?,Above 2.75,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T08:00:00Z,7.116666666666666,0.975,0.97,0.98,0.01,3312.65,bar_age_only_actual_quote_update_time_unavailable,2.75
KXAAAGASED-26NOV03-3.00,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $3.00?,Above 3.00,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T08:00:00Z,7.116666666666666,0.965,0.96,0.97,0.01,6919.08,bar_age_only_actual_quote_update_time_unavailable,3.0
KXAAAGASED-26NOV03-3.25,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $3.25?,Above 3.25,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T15:00:00Z,0.1166666666666666,0.95,0.93,0.97,0.0399999999999999,13617.14,bar_age_only_actual_quote_update_time_unavailable,3.25
KXAAAGASED-26NOV03-3.50,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $3.50?,Above 3.50,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T15:00:00Z,0.1166666666666666,0.835,0.83,0.84,0.01,5671.44,bar_age_only_actual_quote_update_time_unavailable,3.5
KXAAAGASED-26NOV03-3.75,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $3.75?,Above 3.75,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T15:00:00Z,0.1166666666666666,0.565,0.54,0.59,0.0499999999999999,33559.91,bar_age_only_actual_quote_update_time_unavailable,3.75
KXAAAGASED-26NOV03-4.00,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $4.00?,Above 4.00,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T14:00:00Z,1.1166666666666667,0.405,0.39,0.42,0.0299999999999999,25829.48,bar_age_only_actual_quote_update_time_unavailable,4.0
KXAAAGASED-26NOV03-4.25,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $4.25?,Above 4.25,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T15:00:00Z,0.1166666666666666,0.15,0.13,0.17,0.04,10251.22,bar_age_only_actual_quote_update_time_unavailable,4.25
KXAAAGASED-26NOV03-4.50,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $4.50?,Above 4.50,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T15:00:00Z,0.1166666666666666,0.09,0.07,0.11,0.0399999999999999,4667.44,bar_age_only_actual_quote_update_time_unavailable,4.5
KXAAAGASED-26NOV03-4.75,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $4.75?,Above 4.75,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T15:00:00Z,0.1166666666666666,0.045,0.04,0.05,0.01,1979.58,bar_age_only_actual_quote_update_time_unavailable,4.75
KXAAAGASED-26NOV03-5.00,KXAAAGASED,KXAAAGASED-26NOV03,Will average **gas prices** be above $5.00?,Above 5.00,energy_iran,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T09:00:00Z,6.116666666666666,0.04,0.03,0.05,0.02,5005.93,bar_age_only_actual_quote_update_time_unavailable,5.0
