ticker,name,kind,basket,peer_group,topics,period,start_date,end_date,sessions,total_return,sector_benchmark,sector_return,sector_excess_return,spy_return,spy_excess_return,peer_ex_self_return,peer_ex_self_excess_return,peer_count,coverage_status,note
CEG,Constellation Energy,stock,power_and_capacity,power_generators,electricity_datacenters|energy_iran,20_sessions,2026-08-07,2026-09-04,20,0.1094132601117394,XLU,-0.0121531477156427,0.1215664078273822,-0.0039702134928059,0.1133834736045453,0.0619532466089107,0.0474600135028286,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
VST,Vistra,stock,power_and_capacity,power_generators,electricity_datacenters|energy_iran,20_sessions,2026-08-07,2026-09-04,20,0.0619532466089107,XLU,-0.0121531477156427,0.0741063943245535,-0.0039702134928059,0.0659234601017166,0.1094132601117394,-0.0474600135028286,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
AEP,American Electric Power,stock,power_and_capacity,regulated_utilities,electricity_datacenters|affordability_inflation|fed_rates,20_sessions,2026-08-07,2026-09-04,20,-0.0022439395899668,XLU,-0.0121531477156427,0.0099092081256759,-0.0039702134928059,0.001726273902839,-0.0286183075351963,0.0263743679452295,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
DUK,Duke Energy,stock,power_and_capacity,regulated_utilities,electricity_datacenters|affordability_inflation|fed_rates,20_sessions,2026-08-07,2026-09-04,20,-0.0286183075351963,XLU,-0.0121531477156427,-0.0164651598195535,-0.0039702134928059,-0.0246480940423904,-0.0022439395899668,-0.0263743679452295,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
VRT,Vertiv,stock,power_and_capacity,electrical_equipment,electricity_datacenters|trade_tariffs,20_sessions,2026-08-07,2026-09-04,20,0.0298458335718685,XLI,-0.053515437926769,0.0833612714986375,-0.0039702134928059,0.0338160470646744,-0.0843139591463838,0.1141597927182523,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
ETN,Eaton,stock,power_and_capacity,electrical_equipment,electricity_datacenters|trade_tariffs,20_sessions,2026-08-07,2026-09-04,20,-0.0843139591463838,XLI,-0.053515437926769,-0.0307985212196147,-0.0039702134928059,-0.0803437456535779,0.0298458335718685,-0.1141597927182523,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
DLR,Digital Realty,stock,power_and_capacity,data_center_real_estate,electricity_datacenters|fed_rates,20_sessions,2026-08-07,2026-09-04,20,-0.0279153951337376,XLRE,-0.0233436915906278,-0.0045717035431097,-0.0039702134928059,-0.0239451816409317,-0.0016209583241133,-0.0262944368096242,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
EQIX,Equinix,stock,power_and_capacity,data_center_real_estate,electricity_datacenters|fed_rates,20_sessions,2026-08-07,2026-09-04,20,-0.0016209583241133,XLRE,-0.0233436915906278,0.0217227332665145,-0.0039702134928059,0.0023492551686925,-0.0279153951337376,0.0262944368096242,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
XOM,Exxon Mobil,stock,energy_producers,integrated_energy,energy_iran|affordability_inflation,20_sessions,2026-08-07,2026-09-04,20,0.0487623611354182,XLE,0.1140869140625,-0.0653245529270818,-0.0039702134928059,0.0527325746282241,0.1278972019328719,-0.0791348407974537,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
CVX,Chevron,stock,energy_producers,integrated_energy,energy_iran|affordability_inflation,20_sessions,2026-08-07,2026-09-04,20,0.1278972019328719,XLE,0.1140869140625,0.0138102878703718,-0.0039702134928059,0.1318674154256778,0.0487623611354182,0.0791348407974537,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
UNH,UnitedHealth Group,stock,healthcare,managed_care,healthcare|affordability_inflation,20_sessions,2026-08-07,2026-09-04,20,-0.0244177366898472,XLV,0.0348261982589064,-0.0592439349487536,-0.0039702134928059,-0.0204475231970413,,,0,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
HCA,HCA Healthcare,stock,healthcare,hospitals,healthcare|immigration,20_sessions,2026-08-07,2026-09-04,20,-0.0202244669242774,XLV,0.0348261982589064,-0.0550506651831839,-0.0039702134928059,-0.0162542534314715,,,0,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
DHI,D.R. Horton,stock,household_and_credit,homebuilders,housing|fed_rates|immigration,20_sessions,2026-08-07,2026-09-04,20,-0.0551363630533292,XLY,-0.041298155540095,-0.0138382075132341,-0.0039702134928059,-0.0511661495605233,-0.052166006557057,-0.0029703564962721,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
WMT,Walmart,stock,household_and_credit,household_retail,affordability_inflation|trade_tariffs|ai_jobs_regulation,20_sessions,2026-08-07,2026-09-04,20,-0.0398167843729295,XLP,-0.0063439955134285,-0.033472788859501,-0.0039702134928059,-0.0358465708801236,-0.0905576738561327,0.0507408894832032,1,complete,"Decimal returns. Excess is arithmetic percentage-point difference; peer cohort is descriptive, not business-model-neutral or causal."
