ticker,series_ticker,event_ticker,title,yes_sub_title,issue_ids,status,scope,target_utc,quote_status,quote_observed_utc,age_hours,mid_probability,bid_usd,ask_usd,spread_probability,open_interest_contracts,staleness_limit,threshold
KXFEDFUNDSYEAR-28JAN01-T1.00,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 1.00%?",Above 1.00%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T09:00:00Z,6.116666666666666,0.98,0.96,1.0,0.04,361.01,bar_age_only_actual_quote_update_time_unavailable,1.0
KXFEDFUNDSYEAR-28JAN01-T1.25,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 1.25%?",Above 1.25%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.97,0.96,0.98,0.02,270.03,bar_age_only_actual_quote_update_time_unavailable,1.25
KXFEDFUNDSYEAR-28JAN01-T1.50,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 1.50%?",Above 1.50%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.98,0.96,1.0,0.04,55.0,bar_age_only_actual_quote_update_time_unavailable,1.5
KXFEDFUNDSYEAR-28JAN01-T1.75,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 1.75%?",Above 1.75%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.965,0.94,0.99,0.05,25.0,bar_age_only_actual_quote_update_time_unavailable,1.75
KXFEDFUNDSYEAR-28JAN01-T2.00,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 2.00%?",Above 2.00%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.96,0.92,1.0,0.0799999999999999,164.19,bar_age_only_actual_quote_update_time_unavailable,2.0
KXFEDFUNDSYEAR-28JAN01-T2.25,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 2.25%?",Above 2.25%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T11:00:00Z,4.116666666666666,0.95,0.9,1.0,0.0999999999999999,465.83,bar_age_only_actual_quote_update_time_unavailable,2.25
KXFEDFUNDSYEAR-28JAN01-T2.50,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 2.50%?",Above 2.50%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.865,0.85,0.88,0.03,240.12,bar_age_only_actual_quote_update_time_unavailable,2.5
KXFEDFUNDSYEAR-28JAN01-T2.75,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 2.75%?",Above 2.75%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T14:00:00Z,1.1166666666666667,0.85,0.84,0.86,0.02,869.33,bar_age_only_actual_quote_update_time_unavailable,2.75
KXFEDFUNDSYEAR-28JAN01-T3.00,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 3.00%?",Above 3.00%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.835,0.78,0.89,0.1099999999999999,445.93,bar_age_only_actual_quote_update_time_unavailable,3.0
KXFEDFUNDSYEAR-28JAN01-T3.25,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 3.25%?",Above 3.25%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T11:00:00Z,4.116666666666666,0.7949999999999999,0.76,0.83,0.0699999999999999,2243.08,bar_age_only_actual_quote_update_time_unavailable,3.25
KXFEDFUNDSYEAR-28JAN01-T3.50,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 3.50%?",Above 3.50%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T15:00:00Z,0.1166666666666666,0.685,0.67,0.7,0.0299999999999999,2370.96,bar_age_only_actual_quote_update_time_unavailable,3.5
KXFEDFUNDSYEAR-28JAN01-T3.75,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 3.75%?",Above 3.75%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T15:00:00Z,0.1166666666666666,0.69,0.68,0.7,0.0199999999999999,3020.8,bar_age_only_actual_quote_update_time_unavailable,3.75
KXFEDFUNDSYEAR-28JAN01-T4.00,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 4.00%?",Above 4.00%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T14:00:00Z,1.1166666666666667,0.52,0.51,0.53,0.02,1162.93,bar_age_only_actual_quote_update_time_unavailable,4.0
KXFEDFUNDSYEAR-28JAN01-T4.25,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 4.25%?",Above 4.25%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.435,0.42,0.45,0.03,693.25,bar_age_only_actual_quote_update_time_unavailable,4.25
KXFEDFUNDSYEAR-28JAN01-T4.50,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 4.50%?",Above 4.50%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,stale_observation,2026-09-04T17:00:00Z,94.11666666666666,,,,,,,4.5
KXFEDFUNDSYEAR-28JAN01-T4.75,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 4.75%?",Above 4.75%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.235,0.16,0.31,0.15,254.74,bar_age_only_actual_quote_update_time_unavailable,4.75
KXFEDFUNDSYEAR-28JAN01-T5.00,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 5.00%?",Above 5.00%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.125,0.1,0.15,0.0499999999999999,48.76,bar_age_only_actual_quote_update_time_unavailable,5.0
KXFEDFUNDSYEAR-28JAN01-T5.25,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 5.25%?",Above 5.25%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T12:00:00Z,3.1166666666666667,0.105,0.05,0.16,0.11,761.09,bar_age_only_actual_quote_update_time_unavailable,5.25
KXFEDFUNDSYEAR-28JAN01-T5.50,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 5.50%?",Above 5.50%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,stale_observation,2026-09-04T13:00:00Z,98.11666666666666,,,,,,,5.5
KXFEDFUNDSYEAR-28JAN01-T5.75,KXFEDFUNDSYEAR,KXFEDFUNDSYEAR-28JAN01,"Will the upper bound of the target range for the federal funds rate in effect at 11:59 PM ET on December 31, 2027 be above 5.75%?",Above 5.75%,fed_rates,active,US_or_global_US_relevant_proxy,2026-09-08T15:07:00Z,usable,2026-09-08T09:00:00Z,6.116666666666666,0.055,0.04,0.07,0.03,56.0,bar_age_only_actual_quote_update_time_unavailable,5.75
