ticker,source,sha256,hourly_rows,asof,dataset
CONTROLH-2026-R,data\kalshi_full_20260908\candles\CONTROLH-2026-R.json.gz,0769bfb68de447e6e9019e8cf96e0104af6ea13d58e418917c9eb2c0ecc9e65c,1471,2026-09-08T15:07:00Z,common_only
CONTROLH-2026-D,data\kalshi_full_20260908\candles\CONTROLH-2026-D.json.gz,18de9484c69034210707fdc3917ea24f5c9d7c44efeaf2cc842fd5c3d7ef5555,1470,2026-09-08T15:07:00Z,common_only
CONTROLS-2026-R,data\kalshi_full_20260908\candles\CONTROLS-2026-R.json.gz,4f569d169ca0f4809e31e23393fdffef8544a825e5b3d48dd254e6b36ba624fb,1450,2026-09-08T15:07:00Z,common_only
CONTROLS-2026-D,data\kalshi_full_20260908\candles\CONTROLS-2026-D.json.gz,0fda03769bed977fee2edc4b21cfd1aa6006bb724aa3dafd61efdd16b18c580b,1438,2026-09-08T15:07:00Z,common_only
GOVPARTYAL-26-R,data\kalshi_full_20260908\candles\GOVPARTYAL-26-R.json.gz,147fef1fa3e8b05ce81e5c7b16800a910d4c5a7089e0a8feedecf9c626aa329f,596,2026-09-08T15:07:00Z,common_only
GOVPARTYAL-26-D,data\kalshi_full_20260908\candles\GOVPARTYAL-26-D.json.gz,3d85a3c70882d92128fa2e7bb4ed35ecf4c62022dc2ec6972b4af0c2ce7f51e7,896,2026-09-08T15:07:00Z,common_only
GOVPARTYAR-26-R,data\kalshi_full_20260908\candles\GOVPARTYAR-26-R.json.gz,a70fc5fc1c9beb61ad8b9d3cd4368201dbb23de2ec846d8469a1ca8c97f7ce14,238,2026-09-08T15:07:00Z,common_only
GOVPARTYAR-26-D,data\kalshi_full_20260908\candles\GOVPARTYAR-26-D.json.gz,653d2bc582229f5deec450bc551904a88f7d5f808cd09b1fc501c2b1f45711d7,182,2026-09-08T15:07:00Z,common_only
GOVPARTYAZ-26-R,data\kalshi_full_20260908\candles\GOVPARTYAZ-26-R.json.gz,8424f5fc29f080bb1c46b82681118160eda247fd3f17a65f0d35edf01d25d031,1143,2026-09-08T15:07:00Z,common_only
GOVPARTYAZ-26-D,data\kalshi_full_20260908\candles\GOVPARTYAZ-26-D.json.gz,c207dba059a7b9fcbd07764bf30d2ba61b91c4da1d5b15c6287624e4c8ae1cdc,1060,2026-09-08T15:07:00Z,common_only
