ticker,endpoint,page,signature,sha256,retrieved_at,raw_rows,cache_file
CONTROLH-2026-D,/markets/trades,1,4b4f841b74a81a8f2e287f64ed7c5dffb28354cbc0ddb4010ae89617d47e7de0,66b97f40676003bdbfce3f73e9bff5da009d183122b6c25f5f4ecb285febd27e,2026-09-08T23:32:29.604739+00:00,1000,CONTROLH-2026-D_4b4f841b74a81a8f2e28.json.gz
CONTROLH-2026-D,/markets/trades,2,b8e3f70d35b00c89151a585cc027545448b983519b073f60723b4112fb292ab7,d5c9ca09c657353080ccaf902ae3b139a5db7e1f91e9ef827905252fedfd0659,2026-09-08T23:32:30.725017+00:00,1000,CONTROLH-2026-D_b8e3f70d35b00c89151a.json.gz
CONTROLH-2026-D,/markets/trades,3,156ba5e84da394a641d719d8c44df449b142bb7489c902117e5b8d6cb6db98db,640912e54754e4f53aae1aae40866b8922969dfc73e77bab803542fb3b36121b,2026-09-08T23:32:31.854476+00:00,1000,CONTROLH-2026-D_156ba5e84da394a641d7.json.gz
CONTROLH-2026-D,/markets/trades,4,fbb5512735eb0e13bf55b9eab0a2a04b735535703ebf4e3b3b18151fa8c455d7,085214696147ce36d2979f1513238ef4e51aacf3184f883750d9283713f349fe,2026-09-08T23:32:32.990782+00:00,1000,CONTROLH-2026-D_fbb5512735eb0e13bf55.json.gz
CONTROLH-2026-D,/markets/trades,5,a2ae7115452fbd2c9f8d43dc8f1691553cd0e8e5c2c07f794db5426187598d15,3f181d8a8a118ef87591eacde0ff2ab1f241fcec8167bc142f960bf8e36aed04,2026-09-08T23:32:34.087861+00:00,133,CONTROLH-2026-D_a2ae7115452fbd2c9f8d.json.gz
CONTROLS-2026-D,/markets/trades,1,8ce85efc868f5e4e5603591d027562716f3f91b64142f81f16556f453dc2fb59,6b1b233341bafee493ddf2ac1c88101413a2c6f47dfe1a9f36b83ed12ee25b7e,2026-09-08T23:32:35.269789+00:00,1000,CONTROLS-2026-D_8ce85efc868f5e4e5603.json.gz
CONTROLS-2026-D,/markets/trades,2,c1cd144ced2296c904f70650bed3c436cfa14406c2e3bfcf99da9ed3474b0efe,778af7c8c9331ce96275e85a96890017d0a7a2ce4536c046437e9cbef5018c27,2026-09-08T23:32:36.397631+00:00,1000,CONTROLS-2026-D_c1cd144ced2296c904f7.json.gz
CONTROLS-2026-D,/markets/trades,3,20a04f6b2afd85a3ceada9f60c8e39070667bd317b9e1c590756d0cc8d76d309,50c1a3ce7249e8117b4b1d84219197d9170e5ebadfc99eff5ade3f20a64ec0d8,2026-09-08T23:32:37.549779+00:00,1000,CONTROLS-2026-D_20a04f6b2afd85a3cead.json.gz
CONTROLS-2026-D,/markets/trades,4,50daadcd3065775077afb3f16d237fb78cab32e4cdcc73a437ab7fba83ad7a71,012cad3c5b8c5806dc9ba2dca25449d0aa917b39b8c59d4428fb26aa84229b80,2026-09-08T23:32:38.619768+00:00,124,CONTROLS-2026-D_50daadcd3065775077af.json.gz
GOVPARTYWI-26-D,/markets/trades,1,7f36a329c0d9810f8ffe7fac8db3ec5c1fe3f06acbb60ed77be94ba07676bc6b,efe5066670aeca477c6cef443390aa5f0747f1830cec1534dadf1220686b8be0,2026-09-08T23:32:39.780312+00:00,1000,GOVPARTYWI-26-D_7f36a329c0d9810f8ffe.json.gz
GOVPARTYWI-26-D,/markets/trades,2,b00c18a427fb36d3a7b81750a25a52f18486b0e68765c6aa33ac98fa7398de79,0d07984d9e147964834b4737eb09387ce481c8b7d4a273b887e60349a9023e8a,2026-09-08T23:32:40.882279+00:00,705,GOVPARTYWI-26-D_b00c18a427fb36d3a7b8.json.gz
GOVPARTYGA-26-D,/markets/trades,1,796b9701a65674f72b1966ef141309a2df9cc64ccf5f93355fb8b9854d55593e,07991a8423a0e42c4c61bf05a7f1ff9c69e496c067b10f9189c218f135a8af05,2026-09-08T23:32:41.970330+00:00,553,GOVPARTYGA-26-D_796b9701a65674f72b19.json.gz
KXMORATORIUMCOUNT-26DEC31-AL3,/markets/trades,1,64b14b4180cac70c63efc945d9249509344bd7a7d367f1907540e269d4cb53f9,7eebed38df400732916e5eda2f2eb71e9ae221392d3651e60f94a980b5781a10,2026-09-08T23:32:43.031243+00:00,65,KXMORATORIUMCOUNT-26DEC31-AL3_64b14b4180cac70c63ef.json.gz
KXAIBILL-26JUN-27JAN01,/markets/trades,1,4dfa944323c51cd161a3c923683c81c9b5fe474e0f19b875b852be1a2206dcce,e5f9ae0ca363204d986ef617f7ff46f2da305989af6ebb85117fed6c3b2d629b,2026-09-08T23:32:44.106051+00:00,9,KXAIBILL-26JUN-27JAN01_4dfa944323c51cd161a3.json.gz
KXAAAGASED-26NOV03-4.00,/markets/trades,1,ae375348114fe37afb94d73db91233a5dd138a2434915b8a6f0d4f008c081e40,c3326816b21c5b0cbb6056ca1d6fbfdb905afdb9373f798e8528dc9890bf0ffa,2026-09-08T23:32:45.198020+00:00,367,KXAAAGASED-26NOV03-4.00_ae375348114fe37afb94.json.gz
KXFEDFUNDSYEAR-28JAN01-T3.75,/markets/trades,1,d39635853bb9e4fb2bd057a399c57984bbfcf1b6ec763b8eb69ed938d8544b6a,94aaa4b5f46889c2949eeff75c146f3282f5798946172da70a396e0c5b07d19e,2026-09-08T23:32:46.277657+00:00,330,KXFEDFUNDSYEAR-28JAN01-T3.75_d39635853bb9e4fb2bd0.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,1,d011d5f5bae75ead13d4ecdcf5b905916c108bade9c65103e3a0494ea6fccebf,482c7f17adad56a07eb10379e09816f4d77fb5063be1f2f0651f55d144ae3147,2026-09-08T23:32:47.389908+00:00,1000,KXFEDDECISION-26SEP-H25_d011d5f5bae75ead13d4.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,2,dabad30aae4f6a21b297ba292f50a9231d516676a16e9a5c589d55f9ad07b87f,d489203c77d5e734d33beb55909602d87373a27a954b14bde098d675720f0206,2026-09-08T23:32:48.519719+00:00,1000,KXFEDDECISION-26SEP-H25_dabad30aae4f6a21b297.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,3,b4178997c3536038a443d7bd5e7a14e715e445e6cbbd41cb81da09c4fa647a6a,dc1e787077a0bdc698cf3d713616d170fccbc20cf361a7746a46e8bbf425ff87,2026-09-08T23:32:49.689603+00:00,1000,KXFEDDECISION-26SEP-H25_b4178997c3536038a443.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,4,6a7db192b7a9c1ee87cbb50a599b1a24dc89ba0925cbfce281e202d66bfdff13,01ebe895a6158ea8cb1aff968e77f3eb9f6f2f4d5f75ac6049f03ebdf0a60b4e,2026-09-08T23:32:50.816748+00:00,1000,KXFEDDECISION-26SEP-H25_6a7db192b7a9c1ee87cb.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,5,d3164073b0cb4db02cdf6936ec93abb1c5d4f34b3e7a3595cbefa9cd53d60433,d09c276575d7b2495d2aa51e2f5e905aa5d5546fc52a6ded7bc45d79d95be5d7,2026-09-08T23:32:51.931597+00:00,1000,KXFEDDECISION-26SEP-H25_d3164073b0cb4db02cdf.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,6,367e3a1961b2aea8da67b3a3612819e3d87230cce9c3eb774d872e3016493dc4,e0585d19bde9933a84f062fdfa034b6af19df50b848fc263180cb32cf3dd22ab,2026-09-08T23:32:53.059095+00:00,1000,KXFEDDECISION-26SEP-H25_367e3a1961b2aea8da67.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,7,940c3e7af951b00292e4299098debb0ac018540dba2881426d1d5f96c21ef2a5,b76bb4833e6bbe3ac234265d3bc0ff809170240b62d64ecc7d0c59207d8d5c89,2026-09-08T23:32:54.189002+00:00,1000,KXFEDDECISION-26SEP-H25_940c3e7af951b00292e4.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,8,952f9f9b12617d6d5c2754519f19f02d0a76ce12916e5f6280c7875d7e76ba35,b660c8e58fb11444a748dd10bb29649e6a967f8bacf145b1236652d94c1858e3,2026-09-08T23:32:55.357309+00:00,1000,KXFEDDECISION-26SEP-H25_952f9f9b12617d6d5c27.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,9,7ea643fd17cfe48b925545ecbdb4a5beae38efc8086d7f41fa01e5cbd847123f,62d9b2db2d22a6f98fbb2107b51a0fb275d60d57f221dc8b288f9454478e261c,2026-09-08T23:32:56.520263+00:00,1000,KXFEDDECISION-26SEP-H25_7ea643fd17cfe48b9255.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,10,0fb0fd636711215a6332e1cf35ba62afabcd80068661f45c6c0c2703f354959b,2e26a671419723bb5e641c3167a3415b035fbfbe060579395236bf446c86a49d,2026-09-08T23:32:57.655565+00:00,1000,KXFEDDECISION-26SEP-H25_0fb0fd636711215a6332.json.gz
KXFEDDECISION-26SEP-H25,/markets/trades,11,efeaabbedcb3e9839f3e91cb0f525459c0b54ba85687d644d1ca53a277363ae2,124b113ad08702a88a9e5e21f460a3b5a3ff7ff016b8745bfc05fb8dbea2fc71,2026-09-08T23:32:58.737322+00:00,349,KXFEDDECISION-26SEP-H25_efeaabbedcb3e9839f3e.json.gz
KXACAEXT-26JAN-27,/markets/trades,1,48c7efcd2b8dcefbe6abd7c9e5405219c5527631ea6751bb68cdf8bc3f886922,a576a7b18ac42b8174e86360bef2b7a38cb740d268c12748492656338b7355ab,2026-09-08T23:32:59.903809+00:00,98,KXACAEXT-26JAN-27_48c7efcd2b8dcefbe6ab.json.gz
GOVPARTYMI-26-D,/markets/trades,1,f36a93a4387419674833b1d7a09770b13906e3dbeb08474a6e9e4124052c291e,0ed6bbd19fac13a32d3f2d38d5eeacf2adb15438042091ed210b81f9cb4d498f,2026-09-08T23:33:00.973957+00:00,94,GOVPARTYMI-26-D_f36a93a4387419674833.json.gz
GOVPARTYPA-26-D,/markets/trades,1,a87249c1051faccf46389fc1aa13f26c783a55dd812a06fad81a5a80b5b233a8,baca262c95fe2827fbfbac51e1ea2cf23beca534e40709520cbf9f467c144b29,2026-09-08T23:33:02.054530+00:00,64,GOVPARTYPA-26-D_a87249c1051faccf4638.json.gz
