ticker,period_return,start,end,versus_spy_pp
AEP,-0.07691044068438602,2026-07-08,2026-09-04,-11.016772162803823
AMZN,0.0611198380546516,2026-07-08,2026-09-04,2.7862557110999386
CAT,-0.13989330894484087,2026-07-08,2026-09-04,-17.31505898884931
CEG,0.2245196908276592,2026-07-08,2026-09-04,19.1262409884007
CMG,0.10559374056452953,2026-07-08,2026-09-04,7.233645962087731
CVX,0.19577478291019812,2026-07-08,2026-09-04,16.25175019665459
DE,0.16219801026655656,2026-07-08,2026-09-04,12.894072932290435
DHI,-0.035920654850578604,2026-07-08,2026-09-04,-6.917793579423082
DLR,0.06857626845497711,2026-07-08,2026-09-04,3.5318987511324895
DUK,-0.043481343502382974,2026-07-08,2026-09-04,-7.673862444603518
EQIX,0.02456765751792056,2026-07-08,2026-09-04,-0.8689623425731652
ETN,0.030785991629205478,2026-07-08,2026-09-04,-0.2471289314446734
FAST,0.07228947656628315,2026-07-08,2026-09-04,3.903219562263094
GOOGL,-0.06421990558884128,2026-07-08,2026-09-04,-9.747718653249349
HCA,-0.013662564359605778,2026-07-08,2026-09-04,-4.691984530325799
HD,-0.038053878373890515,2026-07-08,2026-09-04,-7.131115931754273
JPM,0.08474992421834115,2026-07-08,2026-09-04,5.149264327468894
LEN,0.005842795418975255,2026-07-08,2026-09-04,-2.7414485524676957
MSFT,0.30599649073915836,2026-07-08,2026-09-04,27.273920979550613
NVDA,0.12855186224210624,2026-07-08,2026-09-04,9.529458129845402
SPY,0.03325728094365221,2026-07-08,2026-09-04,0.0
UNH,-0.06687027971554116,2026-07-08,2026-09-04,-10.012756065919337
VRT,-0.11730278803587235,2026-07-08,2026-09-04,-15.056006897952457
VST,-0.03565433413848851,2026-07-08,2026-09-04,-6.891161508214072
WMT,-0.05042884369955247,2026-07-08,2026-09-04,-8.368612464320469
XLC,0.02347889380887791,2026-07-08,2026-09-04,-0.9778387134774302
XLE,0.15215826109078678,2026-07-08,2026-09-04,11.890098014713457
XLF,0.056940097942714374,2026-07-08,2026-09-04,2.368281699906216
XLI,-0.028544473721044628,2026-07-08,2026-09-04,-6.180175466469684
XLK,0.03241458148101084,2026-07-08,2026-09-04,-0.0842699462641372
XLP,0.0022514805401165905,2026-07-08,2026-09-04,-3.100580040353562
XLRE,-0.004983039934306044,2026-07-08,2026-09-04,-3.8240320877958256
XLU,-0.05026452267676029,2026-07-08,2026-09-04,-8.352180362041251
XLV,0.05637704081599071,2026-07-08,2026-09-04,2.3119759872338497
XLY,-0.0033824751025666178,2026-07-08,2026-09-04,-3.663975604621883
XOM,0.1372676828307502,2026-07-08,2026-09-04,10.401040188709798
