scenario_id,label,ticker,period,executions,contracts_traded,block_volume_share,unknown_block_volume_share,top_five_print_volume_share,largest_print_contracts,median_print_contracts,nonblock_directional_contracts,nonblock_yes_taker_share,nonblock_taker_imbalance,nonblock_unknown_direction_contracts
house_dem,Democratic House victory,CONTROLH-2026-D,previous14,1390,712584.1,0.0,0.0,0.43501788771318367,100000.0,11.64,712584.1,0.6565278821124412,0.3130557642248823,0.0
house_dem,Democratic House victory,CONTROLH-2026-D,latest14,2743,457576.88999999996,0.0,0.0,0.1749753795476865,19258.01,11.51,457576.88999999996,0.5942269287244818,0.18845385744896354,0.0
house_dem,Democratic House victory,CONTROLH-2026-D,all28,4133,1170160.99,0.0,0.0,0.26490955744474104,100000.0,11.63,1170160.99,0.6321658697578015,0.26433173951560307,0.0
senate_dem,Democratic Senate victory,CONTROLS-2026-D,previous14,1839,305722.49,0.0,0.0,0.2287095725276868,25000.0,10.0,305722.49,0.6699419463710374,0.33988389274207476,0.0
senate_dem,Democratic Senate victory,CONTROLS-2026-D,latest14,1285,261279.59,0.0,0.0,0.47554380347887104,56677.0,10.05,261279.59,0.3608281075456372,-0.27834378490872563,0.0
senate_dem,Democratic Senate victory,CONTROLS-2026-D,all28,3124,567002.08,0.0,0.0,0.25677621852815785,56677.0,10.05,567002.08,0.5274995463861438,0.054999092772287705,0.0
wisconsin_dem,Democratic Wisconsin governor,GOVPARTYWI-26-D,previous14,1562,213249.21,0.0,0.0,0.27466774671756117,25234.14,20.0,213249.21,0.5978475606076102,0.19569512121522054,0.0
wisconsin_dem,Democratic Wisconsin governor,GOVPARTYWI-26-D,latest14,143,21524.839999999997,0.0,0.0,0.38037309452706736,3707.41,15.0,21524.839999999997,0.370748865032214,-0.258502269935572,0.0
wisconsin_dem,Democratic Wisconsin governor,GOVPARTYWI-26-D,all28,1705,234774.05000000002,0.0,0.0,0.24948532429371986,25234.14,20.0,234774.05000000002,0.577026421787246,0.15405284357449195,0.0
georgia_dem,Democratic Georgia governor,GOVPARTYGA-26-D,previous14,280,28279.34,0.0,0.0,0.4303611753315318,2500.0,5.0,28279.34,0.8056068493819162,0.6112136987638325,0.0
georgia_dem,Democratic Georgia governor,GOVPARTYGA-26-D,latest14,273,29323.92,0.0,0.0,0.5925800506889938,11529.21,7.97,29323.92,0.30048063151174875,-0.3990387369765025,0.0
georgia_dem,Democratic Georgia governor,GOVPARTYGA-26-D,all28,553,57603.259999999995,0.0,0.0,0.37356028113686623,11529.21,6.0,57603.259999999995,0.5484637501419191,0.09692750028383817,0.0
datacenter_three_states,At least three binding state data-center moratoriums,KXMORATORIUMCOUNT-26DEC31-AL3,previous14,8,728.84,0.0,0.0,0.9860051588826079,500.0,24.905,728.84,0.3071181603644147,-0.38576367927117067,0.0
datacenter_three_states,At least three binding state data-center moratoriums,KXMORATORIUMCOUNT-26DEC31-AL3,latest14,57,4186.65,0.0,0.0,0.5971313580069985,500.0,7.73,4186.65,0.7288548123201128,0.45770962464022563,0.0
datacenter_three_states,At least three binding state data-center moratoriums,KXMORATORIUMCOUNT-26DEC31-AL3,all28,65,4915.49,0.0,0.0,0.508594260185658,500.0,10.0,4915.49,0.666322177443144,0.33264435488628796,0.0
federal_ai_framework,Federal AI framework before 2027,KXAIBILL-26JUN-27JAN01,previous14,4,13.73,0.0,0.0,1.0,7.0,3.36,13.73,0.5098324836125273,0.019664967225054595,0.0
federal_ai_framework,Federal AI framework before 2027,KXAIBILL-26JUN-27JAN01,latest14,5,305.08,0.0,0.0,1.0,223.4,21.84,305.08,0.9284122197456406,0.8568244394912812,0.0
federal_ai_framework,Federal AI framework before 2027,KXAIBILL-26JUN-27JAN01,all28,9,318.81,0.0,0.0,0.9763809165333583,223.4,5.0,318.81,0.9103854960634861,0.8207709921269722,0.0
election_gas_four,Election-day gasoline above $4,KXAAAGASED-26NOV03-4.00,previous14,225,13664.72,0.0,0.0,0.4699430357885123,4071.64,12.0,13664.72,0.18978215433612983,-0.6204356913277403,0.0
election_gas_four,Election-day gasoline above $4,KXAAAGASED-26NOV03-4.00,latest14,142,5323.79,0.0,0.0,0.499450579380479,1000.0,10.0,5323.79,0.6100841693605495,0.2201683387210991,0.0
election_gas_four,Election-day gasoline above $4,KXAAAGASED-26NOV03-4.00,all28,367,18988.510000000002,0.0,0.0,0.3724167931027763,4071.64,11.71,18988.510000000002,0.30762181972150526,-0.3847563605569895,0.0
fed_2027_above375,End-2027 Fed upper bound above 3.75%,KXFEDFUNDSYEAR-28JAN01-T3.75,previous14,105,2582.3500000000004,0.0,0.0,0.4076442000503417,396.95,8.37,2582.3500000000004,0.5529304703080528,0.10586094061610543,0.0
