issue_id,channel,recent_days,metadata_contracts,metadata_families,families_with_any_window_observation,eligible_continuing_families,eligible_continuing_contracts,minimum_required_families,equal_family_log1p_activity_change,median_family_volume_ratio,median_family_robust_activity_z,families_activity_rising,share_families_activity_rising,equal_family_persistence_share,recent_fixed_panel_volume,largest_family_volume_share,largest_family,median_quote_usable_share,attention_class,electoral_salience_status,minimum_day_coverage,issue_label
affordability_inflation,macro,7,593,10,9,6,141,3,0.9523318403024778,1.646425969425509,0.8507404941812247,5.0,0.8333333333333334,0.7976190476190476,364903.36,0.7236525857147493,KXCPIYOY,0.3212283781904035,broad_persistent_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,Affordability and inflation
affordability_inflation,macro,14,593,10,9,4,120,3,1.2528390971751622,2.3750057319624,0.7631297043529455,3.0,0.75,0.7321428571428571,746935.21,0.6261147871178813,KXCPIYOY,0.36330502031321943,broad_persistent_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,Affordability and inflation
affordability_inflation,mention,7,283,44,26,4,4,3,0.8416383667533538,1.5250764399917733,0.6255731703438402,4.0,1.0,0.7357142857142858,2837.5399999999995,0.9552288249681061,KXSECPRESSMENTION,0.9782608695652174,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Affordability and inflation
affordability_inflation,mention,14,283,44,27,4,4,3,0.2865944120559021,2.5351733214283385,,3.0,0.75,0.4193722943722944,376.02,0.4932450401574385,KXFEDMENTION,0.9041157440690151,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,Affordability and inflation
affordability_inflation,policy,7,13,7,6,3,7,3,-0.18760747032071098,0.09374857721892559,0.03866072896302066,0.0,0.0,0.19047619047619047,118.97,1.0,KXNYCGROCERY,0.8913043478260869,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Affordability and inflation
affordability_inflation,policy,14,13,7,6,3,7,3,-0.43082884752182754,0.0956184153985212,-0.1775642668773379,0.0,0.0,0.11904761904761905,286.8,1.0,KXNYCGROCERY,0.7526315789473684,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Affordability and inflation
ai_jobs_regulation,mention,7,325,88,58,4,4,3,0.24948592938710606,1.0169828775491843,0.38573400347844644,3.0,0.75,0.5714285714285714,1810.7,0.5609322361517646,KXSECPRESSMENTION,0.7349813928761297,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,"AI, jobs and regulation"
ai_jobs_regulation,mention,14,325,88,73,3,3,3,0.8128509525173677,2.055484224901661,1.5471988084707577,3.0,1.0,0.6428571428571429,2580.32,0.8264595088981211,KXEARNINGSMENTIONDPZ,0.875968992248062,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,"AI, jobs and regulation"
ai_jobs_regulation,policy,7,26,16,16,8,9,3,0.6195807248259826,9.316842265994808,0.0732289398174754,6.0,0.75,0.33214285714285713,4239.93,0.3054602316547679,KXANTHROPICRESCIND,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,"AI, jobs and regulation"
ai_jobs_regulation,policy,14,26,16,16,11,13,3,0.14430949012727828,1.2498564152166083,-0.07112866957453863,5.0,0.45454545454545453,0.27558048012593467,12949.349999999999,0.49002227911053453,KXUSACOMPANYSTAKE,0.9795918367346939,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,"AI, jobs and regulation"
electoral_context,election,7,1228,161,160,139,317,3,0.31593711347254194,0.7978706836367543,0.19658817814159094,87.0,0.6258992805755396,0.4678314491264131,6276792.74,0.22388111703047886,CONTROLH,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,Election outcomes and control
electoral_context,election,14,1228,161,160,128,488,3,0.32641150220404525,1.1752644287215173,0.14869621003085243,77.0,0.6015625,0.48380447677322674,13920052.87,0.24679141179152722,CONTROLH,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,Election outcomes and control
electricity_datacenters,macro,7,61,4,4,1,6,3,-0.23716275832036923,0.01570909090909091,,0.0,0.0,0.4,1.92,1.0,KXUSDCCAPACITY,0.9325842696629213,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Electricity and data centers
electricity_datacenters,macro,14,61,4,4,1,8,3,-0.3530574453938584,0.0035058444787163215,,0.0,0.0,0.16666666666666666,1.92,1.0,KXUSDCCAPACITY,0.9272030651340997,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Electricity and data centers
electricity_datacenters,mention,7,43,18,10,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Electricity and data centers
electricity_datacenters,mention,14,43,18,12,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Electricity and data centers
electricity_datacenters,policy,7,15,7,7,3,5,3,0.1346880852500749,0.5880589778623062,0.0930584832311686,1.0,0.3333333333333333,0.23809523809523805,2407.81,0.9958468483808939,KXMORATORIUMCOUNT,0.7837837837837838,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Electricity and data centers
electricity_datacenters,policy,14,15,7,7,5,7,3,0.348253096955056,1.6924827512492744,0.6764146463162481,2.0,0.4,0.2621978021978022,12951.86,0.8692921325585669,KXMORATORIUMCOUNT,0.9090909090909091,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Electricity and data centers
energy_iran,macro,7,541,8,6,3,31,3,-0.16842355540437945,0.8979162803103171,-0.20946483833403762,2.0,0.6666666666666666,0.2857142857142857,130621.08,0.8062440610657943,KXWTIMAX,0.9601139601139601,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Energy and Iran
energy_iran,macro,14,541,8,6,3,30,3,-0.28346608841369836,0.7980406629838387,-0.6701608711143676,0.0,0.0,0.35714285714285715,354410.35,0.8675084404278827,KXWTIMAX,0.973943661971831,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Energy and Iran
energy_iran,mention,7,497,65,35,4,8,3,1.1490631636783641,1.7638892261070571,1.0017953546300875,2.0,0.5,0.6964285714285714,28637.7,0.9435150169182581,KXSECPRESSMENTION,0.9505220883534137,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Energy and Iran
energy_iran,mention,14,497,65,45,4,7,3,0.6149658759431045,1.4264291818852102,0.6686200791774602,3.0,0.75,0.4972527472527472,2518.88,0.6237375341421584,KXFEDMENTION,0.9334104428288169,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,Energy and Iran
energy_iran,policy,7,400,26,24,16,45,3,0.2915809730125234,0.8470652630425409,-0.06193528386437271,10.0,0.625,0.513095238095238,747002.86,0.6535789434594668,KXHORMUZNORM,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,Energy and Iran
energy_iran,policy,14,400,26,24,16,43,3,0.5483335060287109,1.065086896498293,0.18868925842649933,11.0,0.6875,0.5462537462537462,2154954.1,0.7764371965045567,KXHORMUZNORM,1.0,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Energy and Iran
fed_rates,macro,7,347,12,10,10,203,3,0.7407165347989608,2.1177813618944326,0.5337127993967115,9.0,0.9,0.7452380952380951,14233148.91,0.8465184504277063,KXFEDDECISION,0.9565860878145043,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Fed and interest rates
fed_rates,macro,14,347,12,10,10,225,3,0.7797110721205796,2.3354528161004997,0.5284390941301373,10.0,1.0,0.7374458874458875,27352261.46,0.8857286775146234,KXFEDDECISION,0.9073862207477685,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Fed and interest rates
fed_rates,mention,7,9,8,0,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Fed and interest rates
