issue_id,channel,recent_days,metadata_contracts,metadata_families,families_with_any_window_observation,eligible_continuing_families,eligible_continuing_contracts,minimum_required_families,equal_family_log1p_activity_change,median_family_volume_ratio,median_family_robust_activity_z,families_activity_rising,share_families_activity_rising,equal_family_persistence_share,recent_fixed_panel_volume,largest_family_volume_share,largest_family,median_quote_usable_share,attention_class,electoral_salience_status,distinct_coverage_classifications,minimum_eligible_families_across_coverage,classification_stable_across_coverage,issue_label
affordability_inflation,macro,7,593,10,9,4,72,3,1.2157614791511482,2.0099593681888517,0.7431431290766692,3.0,0.75,0.8571428571428572,331868.11000000004,0.7847527139621822,KXCPIYOY,0.39873196868674,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,2,4,False,Affordability and inflation
affordability_inflation,macro,14,593,10,9,5,67,3,1.0449049915254363,1.3034357954835092,1.0738066352823026,4.0,0.8,0.7023809523809523,606581.62,0.698821405106208,KXCPIYOY,0.43381940549635445,broad_persistent_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,2,3,False,Affordability and inflation
affordability_inflation,mention,7,283,44,26,3,3,3,1.1163454979925964,2.436138014527845,0.6255731703438402,3.0,1.0,0.7142857142857143,2829.6099999999997,0.9579058598181375,KXSECPRESSMENTION,1.0,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,1,3,True,Affordability and inflation
affordability_inflation,mention,14,283,44,27,3,3,3,0.2738960866895919,2.4134175645298814,,2.0,0.6666666666666666,0.4682539682539683,331.78,0.55901500994635,KXFEDMENTION,0.9813084112149533,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,2,2,False,Affordability and inflation
affordability_inflation,policy,7,13,7,6,1,1,3,-0.5316532559370137,0.18749715443785117,0.03866072896302066,0.0,0.0,0.5714285714285714,118.97,1.0,KXNYCGROCERY,1.0,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,2,1,False,Affordability and inflation
affordability_inflation,policy,14,13,7,6,3,7,3,-0.43082884752182754,0.0956184153985212,-0.1775642668773379,0.0,0.0,0.11904761904761905,286.8,1.0,KXNYCGROCERY,0.7526315789473684,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,2,1,False,Affordability and inflation
ai_jobs_regulation,mention,7,325,88,58,4,4,3,0.24948592938710606,1.0169828775491843,0.38573400347844644,3.0,0.75,0.5714285714285714,1810.7,0.5609322361517646,KXSECPRESSMENTION,0.7349813928761297,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,1,4,True,"AI, jobs and regulation"
ai_jobs_regulation,mention,14,325,88,73,3,3,3,0.8128509525173677,2.055484224901661,1.5471988084707577,3.0,1.0,0.6428571428571429,2580.32,0.8264595088981211,KXEARNINGSMENTIONDPZ,0.875968992248062,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,2,2,False,"AI, jobs and regulation"
ai_jobs_regulation,policy,7,26,16,16,7,7,3,0.6281445169326176,1.0025988388166989,0.08465468617217778,6.0,0.8571428571428571,0.44897959183673464,4521.1,0.3367078808254628,KXBILLS,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,1,6,True,"AI, jobs and regulation"
ai_jobs_regulation,policy,14,26,16,16,9,10,3,0.24170420862431122,2.375821818813277,-0.07112866957453863,5.0,0.5555555555555556,0.32671957671957674,12944.669999999998,0.49019944115995234,KXUSACOMPANYSTAKE,0.9840637450199203,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,1,6,True,"AI, jobs and regulation"
