series_ticker,recent_days,matched_recent_event_days,recent_distinct_events,independent_past_events,mean_recent_activity_per_contract,mean_lead_matched_past_activity,lead_matched_activity_ratio,status,limitation
KXAAAGASM,7,7,1,1,514.7226637362638,496.63510095430894,1.036420226333577,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXBRENTMON,7,7,1,1,313.9929523809524,225.423,1.3929055703320086,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXCPI,7,7,1,2,952.1672545787545,3675.3924523809524,0.2590654649578801,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXCPICORE,7,7,1,2,134.47026927437642,190.5508571428571,0.7056922823158086,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXCPICOREYOY,7,7,1,2,139.7682116692831,72.79173925479283,1.9201108958264153,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXCPIYOY,7,7,1,2,2158.8058920323983,1849.73493822529,1.167089320431847,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXECONSTATU3,7,9,2,1,100.26073200953634,299.38091618814275,0.334893530576707,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXEHSALES,7,7,1,1,31.835017006802726,8.748044217687076,3.6391010624337805,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXEXUSHOME,7,7,1,1,29.846488095238094,23.295283446712016,1.2812245089660301,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXFED,7,7,1,1,12160.044435786433,13097.08987012987,0.928453920402537,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXFEDCOMBO,7,7,1,1,941.4927142857142,419.4164285714286,2.2447683260584856,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXFEDDECISION,7,7,1,1,339331.8111428571,250576.21257142856,1.3542060024796971,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXFOMCDISSENTCOUNT,7,7,1,1,829.9529523809523,907.921,0.9141246346113288,insufficient_independent_past_events_or_days,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
KXJOBLESSCLAIMS,7,7,2,8,172.7546883116883,249.00581168831172,0.6937777361113591,calendar_comparison_supported,scheduled_expiration_lead_not_verified_release_time_or_causal_adjustment
