issue_id,channel,baseline_day,latest_day,endpoint_max_age_days,metadata_contracts,prior_observed_contracts,latest_observed_contracts,continuing_contracts,entry_contracts,exit_contracts,no_fresh_oi_at_either_endpoint,prior_oi,latest_oi,observed_panel_oi_change,continuing_oi_change,entry_oi,exit_oi,entry_oi_new_listing,entry_oi_old_or_unknown_creation,exit_oi_settlement_corroborated,exit_oi_without_settlement_evidence,identity_residual,continuing_oi_pct_change,interpretation,issue_label
affordability_inflation,macro,2026-08-24,2026-09-07,2,593,222,214,180,34,42,337,280297.73,774933.77,494636.04000000004,525608.68,8575.35,39547.99,0.0,8575.35,22205.57,17342.42,0.0,218.32159818739578,outstanding_contracts_not_net_directional_positions_or_cash_inflows,Affordability and inflation
affordability_inflation,mention,2026-08-24,2026-09-07,2,283,18,9,3,6,15,259,72836.39000000001,15918.01,-56918.38000000001,1605.9899999999998,12984.800000000001,71509.17000000001,12984.800000000001,0.0,36904.11,34605.06,0.0,121.00405358569037,outstanding_contracts_not_net_directional_positions_or_cash_inflows,Affordability and inflation
affordability_inflation,policy,2026-08-24,2026-09-07,2,13,8,12,8,4,0,1,7447.950000000001,16767.94,9319.989999999998,5107.429999999999,4212.56,0.0,4212.56,0.0,0.0,0.0,-1.8189894035458565e-12,68.5749770070959,outstanding_contracts_not_net_directional_positions_or_cash_inflows,Affordability and inflation
ai_jobs_regulation,mention,2026-08-24,2026-09-07,2,325,23,22,4,18,19,284,81149.24,30982.58,-50166.66,1655.99,24677.820000000003,76500.46999999999,24677.820000000003,0.0,61374.72,15125.75,-2.1827872842550278e-11,35.62211079489844,outstanding_contracts_not_net_directional_positions_or_cash_inflows,"AI, jobs and regulation"
ai_jobs_regulation,policy,2026-08-24,2026-09-07,2,26,20,19,15,4,5,2,106386.68000000001,103742.29,-2644.390000000014,3962.9399999999987,1096.0,7703.33,1096.0,0.0,7371.0,332.33,-1.2732925824820995e-11,4.015814217899979,outstanding_contracts_not_net_directional_positions_or_cash_inflows,"AI, jobs and regulation"
electoral_context,election,2026-08-24,2026-09-07,2,1228,1160,1098,1073,25,87,43,53655014.949999996,63828767.77000001,10173752.820000015,10244166.439999998,49924.67,120338.29,1884.26,48040.41,0.0,120338.29,1.6763806343078613e-08,19.135571706281038,outstanding_contracts_not_net_directional_positions_or_cash_inflows,Election outcomes and control
electricity_datacenters,macro,2026-08-24,2026-09-07,2,61,30,26,19,7,11,24,62004.41,186891.81,124887.4,130791.11,2334.1099999999997,8237.82,2334.1099999999997,0.0,7228.820000000001,1009.0,0.0,243.25721605182702,outstanding_contracts_not_net_directional_positions_or_cash_inflows,Electricity and data centers
electricity_datacenters,mention,2026-08-24,2026-09-07,2,43,3,0,0,0,3,40,5459.9400000000005,0.0,-5459.9400000000005,0.0,0.0,5459.9400000000005,0.0,0.0,5459.9400000000005,0.0,0.0,,outstanding_contracts_not_net_directional_positions_or_cash_inflows,Electricity and data centers
electricity_datacenters,policy,2026-08-24,2026-09-07,2,15,13,11,10,1,3,1,20581.48,25499.239999999998,4917.759999999998,9581.46,1655.61,6319.3099999999995,0.0,1655.61,4141.36,2177.9500000000003,-1.8189894035458565e-12,67.18094090871163,outstanding_contracts_not_net_directional_positions_or_cash_inflows,Electricity and data centers
energy_iran,macro,2026-08-24,2026-09-07,2,541,135,153,57,96,78,310,3651937.93,3519793.0299999993,-132144.90000000084,197074.01999999996,118619.23,447838.15,112135.64,6483.590000000001,447838.15,0.0,-7.566995918750763e-10,6.150682985284559,outstanding_contracts_not_net_directional_positions_or_cash_inflows,Energy and Iran
